Monitoring Date,Officer ID,Officer Name,Office Location,Site ID,Site Name,Site Location,Activity ID,Activity Type,Activity Description,Activity Duration (hours),Equipment Used,Pollution Level Detected,Compliance Status,Community Feedback Rating,Transaction ID,Incentive Received,Compliance Target Achieved
04-03-2022,19,Yvonne Cook,Hobart,1,Charlestown Park,"Mount Wellington, Hobart, TAS 7054",853,Water Quality Test,Description 82,3.84,Equipment 1,346.58,Non-Compliant,3,3938,No,
12-06-2022,25,Beth Smith,Darwin,1,Toronto Foreshore,"Mindil Beach, Darwin, NT 0820",307,Water Quality Test,Description 151,7.04,Equipment 9,430.53,Non-Compliant,5,2369,No,
14-08-2022,24,Rachel King,Canberra,24,Watagan Mountains,"Parliament House, Canberra, ACT 2600",271,Noise Level Measurement,Description 56,7.23,Equipment 6,80.06,Compliant,1,562,No,
07-03-2022,10,Ella Brown,Gold Coast,19,Awaba State Forest,"Surfers Paradise Beach, Gold Coast, QLD 4217",386,Water Quality Test,Description 2,6.46,Equipment 18,94.58,Non-Compliant,2,4559,No,
19-04-2022,14,Yvonne Cook,Newcastle,16,Heaton State Forest,"John Parade, Merewether, NSW 2291",84,Soil Quality Test,Description 56,5.01,Equipment 1,369.68,Compliant,2,3432,No,
26-02-2022,7,Tina Scott,Sydney,24,Lambton Park,"Reserve Road, Newcastle, NSW 2300",612,Air Quality Check,Description 28,2.52,Equipment 2,457.85,Compliant,5,2767,No,
26-09-2022,14,Alice Johnson,Melbourne,17,Richley Reserve,"Federation Square, Melbourne, VIC 3000",949,Water Quality Test,Description 73,4.28,Equipment 6,232.12,Non-Compliant,2,2110,No,
16-01-2022,16,Tina Scott,Brisbane,11,Braye Park,"Queen Street Mall, Brisbane, QLD 4000",813,Water Quality Test,Description 119,2.25,Equipment 20,41.36,Compliant,3,2300,No,
09-10-2022,20,Xena Perez,Perth,18,Waratah Park,"Kings Park, Perth, WA 6005",866,Water Quality Test,Description 183,7.14,Equipment 19,167.83,Compliant,3,1310,Yes,No
10-03-2022,3,Xena Perez,Adelaide,23,King Edward Park,"Glenelg Beach, Adelaide, SA 5045",594,Noise Level Measurement,Description 170,7.54,Equipment 17,235.49,Compliant,1,3613,Yes,No
30-08-2022,13,Natalie Walker,Hobart,7,Blackbutt Nature Reserve,"Mount Wellington, Hobart, TAS 7054",196,Noise Level Measurement,Description 129,4.48,Equipment 4,360.91,Compliant,4,1362,Yes,Yes
18-09-2022,2,Catherine Lee,Darwin,7,King Edward Park,"Mindil Beach, Darwin, NT 0820",296,Water Quality Test,Description 196,6.85,Equipment 8,368.12,Non-Compliant,3,2225,Yes,No
17-11-2022,21,Samantha Wright,Canberra,10,Newcastle Beach,"Parliament House, Canberra, ACT 2600",885,Water Quality Test,Description 28,3.8,Equipment 6,410.73,Compliant,2,1074,No,
17-01-2022,1,Vicky Turner,Gold Coast,11,Merewether Beach,"Surfers Paradise Beach, Gold Coast, QLD 4217",126,Soil Quality Test,Description 173,7.66,Equipment 9,485.36,Compliant,1,1932,No,
21-07-2022,14,Olivia Hall,Newcastle,13,Nobbys Beach,"John Parade, Merewether, NSW 2291",506,Water Quality Test,Description 42,7.61,Equipment 5,209.65,Compliant,4,2200,No,
24-02-2022,12,Ella Brown,Sydney,13,Hunter Wetlands Centre,"Darling Harbour, Sydney, NSW 2000",738,Noise Level Measurement,Description 145,2.82,Equipment 8,154.39,Non-Compliant,1,2347,Yes,No
02-06-2022,15,Beth Smith,Melbourne,15,Warners Bay Foreshore,"St Kilda Road, Melbourne, VIC 3004",742,Noise Level Measurement,Description 176,3.12,Equipment 5,489.32,Compliant,2,2168,Yes,No
13-12-2022,24,Diana Taylor,Brisbane,11,Redhead Beach,"South Bank, Brisbane, QLD 4101",104,Noise Level Measurement,Description 126,6.4,Equipment 20,15.08,Compliant,1,3784,No,
22-10-2022,3,Jane White,Perth,20,Glenrock State Conservation Area,"Kings Park, Perth, WA 6005",680,Water Quality Test,Description 98,5.68,Equipment 17,433.1,Non-Compliant,2,1698,No,
23-08-2022,10,Isabella Thompson,Adelaide,17,Hunter Wetlands Centre,"Glenelg Beach, Adelaide, SA 5045",775,Soil Quality Test,Description 106,4.66,Equipment 12,313.33,Non-Compliant,5,599,No,
09-07-2022,17,Jane White,Hobart,10,Croudace Bay Park,"Mount Wellington, Hobart, TAS 7054",51,Noise Level Measurement,Description 150,5.58,Equipment 17,365.91,Compliant,2,1001,Yes,Yes
13-05-2022,6,Megan Lewis,Darwin,9,Belmont Wetlands State Park,"Mindil Beach, Darwin, NT 0820",487,Soil Quality Test,Description 56,1.29,Equipment 9,436.4,Non-Compliant,5,579,Yes,Yes
26-04-2022,4,Rachel King,Canberra,19,Jesmond Park,"Parliament House, Canberra, ACT 2600",508,Soil Quality Test,Description 103,2.58,Equipment 20,187.16,Non-Compliant,3,809,Yes,No
22-10-2022,8,Xena Perez,Gold Coast,5,Mount Sugarloaf,"Mount Sugarloaf Road, West Wallsend, NSW 2286",138,Soil Quality Test,Description 133,1.87,Equipment 11,463.08,Non-Compliant,2,4071,No,
07-05-2022,11,Hannah Moore,Newcastle,18,Charlestown Park,"Wharf Road, Newcastle East, NSW 2300",181,Water Quality Test,Description 110,6.77,Equipment 20,274.81,Compliant,2,2968,Yes,No
19-11-2022,12,Tina Scott,Sydney,22,Toronto Foreshore,"Circular Quay, Sydney, NSW 2000",375,Air Quality Check,Description 67,5.06,Equipment 14,190.96,Compliant,2,4358,No,
20-04-2022,22,Rachel King,Melbourne,18,Watagan Mountains,"Federation Square, Melbourne, VIC 3000",957,Water Quality Test,Description 98,3.38,Equipment 7,196.94,Non-Compliant,3,1299,Yes,Yes
16-07-2022,18,Grace Jones,Brisbane,12,Watagan Mountains,"Queen Street Mall, Brisbane, QLD 4000",256,Air Quality Check,Description 82,1.61,Equipment 1,110.58,Compliant,2,2790,No,
10-04-2022,16,Zoe Ward,Perth,2,Heaton State Forest,"Kings Park, Perth, WA 6005",830,Air Quality Check,Description 173,2.94,Equipment 20,232.98,Compliant,1,3827,No,
23-06-2022,10,Wendy Mitchell,Adelaide,11,Lambton Park,"Morehead Street, Lambton, NSW 2299",476,Air Quality Check,Description 199,5.71,Equipment 8,294.48,Compliant,1,3271,No,
27-05-2022,8,Alice Johnson,Hobart,10,Richley Reserve,"Carnley Avenue, Kotara, NSW 2289",945,Soil Quality Test,Description 24,1.65,Equipment 5,436.2,Compliant,4,958,No,
08-04-2022,9,Jane White,Darwin,24,Braye Park,"Darwin Waterfront, Darwin, NT 0800",930,Soil Quality Test,Description 168,4.67,Equipment 12,469.89,Compliant,1,3273,Yes,Yes
01-01-2022,25,Grace Jones,Canberra,20,Waratah Park,"Lake Burley Griffin, Canberra, ACT 2600",350,Water Quality Test,Description 174,5.54,Equipment 20,56.42,Non-Compliant,1,542,No,
27-11-2022,22,Beth Smith,Gold Coast,1,King Edward Park,"Broadbeach, Gold Coast, QLD 4218",58,Noise Level Measurement,Description 116,7.19,Equipment 10,164.85,Compliant,2,441,Yes,Yes
29-08-2022,19,Uma Allen,Newcastle,11,Blackbutt Nature Reserve,"John Parade, Merewether, NSW 2291",584,Soil Quality Test,Description 163,1.57,Equipment 16,416.61,Compliant,2,2129,Yes,No
15-12-2022,3,Paula Young,Sydney,14,King Edward Park,"Darling Harbour, Sydney, NSW 2000",345,Water Quality Test,Description 87,6.32,Equipment 7,73.48,Compliant,1,236,Yes,Yes
18-08-2022,1,Kate Harris,Melbourne,15,Newcastle Beach,"St Kilda Road, Melbourne, VIC 3004",815,Soil Quality Test,Description 3,1.05,Equipment 7,99.85,Non-Compliant,1,4434,Yes,Yes
23-03-2022,22,Olivia Hall,Brisbane,14,Merewether Beach,"South Bank, Brisbane, QLD 4101",135,Noise Level Measurement,Description 76,7.49,Equipment 17,192.61,Non-Compliant,5,127,No,
26-03-2022,11,Paula Young,Perth,18,Nobbys Beach,"Cottesloe Beach, Perth, WA 6011",799,Water Quality Test,Description 31,2.36,Equipment 12,469.39,Compliant,1,498,No,
21-11-2022,11,Tina Scott,Adelaide,11,Speers Point Park,"Park Road, Speers Point, NSW 2284",614,Water Quality Test,Description 54,2.05,Equipment 19,155.47,Non-Compliant,2,401,No,
08-05-2022,4,Ella Brown,Hobart,9,Warners Bay Foreshore,"Mount Wellington, Hobart, TAS 7054",600,Soil Quality Test,Description 141,7.24,Equipment 6,236.36,Non-Compliant,2,2357,No,
07-03-2022,6,Megan Lewis,Darwin,14,Redhead Beach,"Beach Road, Redhead, NSW 2290",395,Soil Quality Test,Description 148,5.85,Equipment 11,234.51,Compliant,2,1180,No,
12-11-2022,17,Isabella Thompson,Canberra,10,Glenrock State Conservation Area,"Parliament House, Canberra, ACT 2600",204,Water Quality Test,Description 72,6.51,Equipment 4,308.01,Compliant,5,1646,Yes,Yes
23-03-2022,13,Wendy Mitchell,Gold Coast,5,Hunter Wetlands Centre,"Sandgate Road, Shortland, NSW 2307",404,Noise Level Measurement,Description 36,5.29,Equipment 15,349.82,Compliant,4,3731,Yes,Yes
21-02-2022,18,Megan Lewis,Newcastle,1,Croudace Bay Park,"Wharf Road, Newcastle East, NSW 2300",335,Noise Level Measurement,Description 118,3.36,Equipment 15,258.24,Compliant,5,492,Yes,No
20-12-2022,12,Diana Taylor,Sydney,12,Belmont Wetlands State Park,"Reserve Road, Newcastle, NSW 2300",878,Air Quality Check,Description 115,6.5,Equipment 5,51.82,Non-Compliant,1,3044,Yes,Yes
06-12-2022,8,Catherine Lee,Melbourne,11,Jesmond Park,"Robinson Avenue, Jesmond, NSW 2299",297,Soil Quality Test,Description 187,8,Equipment 18,54.45,Compliant,2,62,Yes,Yes
07-10-2022,4,Tina Scott,Brisbane,13,Mount Sugarloaf,"Mount Sugarloaf Road, West Wallsend, NSW 2286",730,Water Quality Test,Description 104,7.2,Equipment 8,91.48,Non-Compliant,3,3953,No,
08-12-2022,9,Laura Clark,Perth,14,Charlestown Park,"Cottesloe Beach, Perth, WA 6011",71,Air Quality Check,Description 64,7.08,Equipment 9,178.13,Non-Compliant,2,4145,No,
18-11-2022,1,Hannah Moore,Adelaide,1,Toronto Foreshore,"Rundle Mall, Adelaide, SA 5000",244,Air Quality Check,Description 133,5.76,Equipment 7,95.84,Compliant,5,3677,No,
07-11-2022,25,Laura Clark,Hobart,13,Watagan Mountains,"Salamanca Place, Hobart, TAS 7000",310,Water Quality Test,Description 40,6.27,Equipment 4,14.9,Compliant,1,1783,No,
09-04-2022,4,Alice Johnson,Darwin,5,Lambton Park,"Mindil Beach, Darwin, NT 0820",240,Air Quality Check,Description 37,3.52,Equipment 13,212.87,Non-Compliant,2,3540,Yes,Yes
04-02-2022,23,Yvonne Cook,Canberra,2,Heaton State Forest,"Heaton Road, Awaba, NSW 2283",652,Water Quality Test,Description 176,4.26,Equipment 20,410.21,Non-Compliant,4,4144,No,
24-08-2022,3,Fiona Wilson,Gold Coast,13,Lambton Park,"Surfers Paradise Beach, Gold Coast, QLD 4217",516,Soil Quality Test,Description 107,7.83,Equipment 11,334.02,Compliant,3,28,Yes,No
18-09-2022,8,Grace Jones,Newcastle,1,Richley Reserve,"John Parade, Merewether, NSW 2291",361,Noise Level Measurement,Description 78,3.61,Equipment 6,403.53,Non-Compliant,4,3309,Yes,Yes
14-08-2022,14,Yvonne Cook,Sydney,8,Braye Park,"Darling Harbour, Sydney, NSW 2000",327,Soil Quality Test,Description 98,3.42,Equipment 12,102.78,Compliant,4,364,No,
27-06-2022,9,Olivia Hall,Melbourne,20,Waratah Park,"St Kilda Road, Melbourne, VIC 3004",340,Soil Quality Test,Description 128,7.9,Equipment 10,75.88,Compliant,1,3808,No,
30-11-2022,20,Hannah Moore,Brisbane,5,Warners Bay Foreshore,"South Bank, Brisbane, QLD 4101",498,Noise Level Measurement,Description 62,1.88,Equipment 9,15.74,Non-Compliant,4,4690,No,
10-04-2022,6,Xena Perez,Perth,23,Blackbutt Nature Reserve,"Kings Park, Perth, WA 6005",777,Noise Level Measurement,Description 124,7.93,Equipment 10,83,Non-Compliant,3,3790,Yes,No
23-10-2022,17,Uma Allen,Adelaide,7,King Edward Park,"Rundle Mall, Adelaide, SA 5000",292,Air Quality Check,Description 56,2.86,Equipment 3,264.94,Non-Compliant,5,251,Yes,No
03-12-2022,23,Olivia Hall,Hobart,19,Newcastle Beach,"Salamanca Place, Hobart, TAS 7000",748,Soil Quality Test,Description 189,7.46,Equipment 13,463.22,Compliant,5,4851,No,
23-02-2022,13,Wendy Mitchell,Darwin,14,Watagan Mountains,"Mindil Beach, Darwin, NT 0820",210,Air Quality Check,Description 95,7.96,Equipment 13,288.3,Compliant,2,1324,Yes,Yes
27-09-2022,25,Rachel King,Canberra,9,Nobbys Beach,"Lake Burley Griffin, Canberra, ACT 2600",814,Water Quality Test,Description 184,2.29,Equipment 14,75.9,Non-Compliant,1,2426,Yes,Yes
13-12-2022,16,Samantha Wright,Gold Coast,8,Speers Point Park,"Surfers Paradise Beach, Gold Coast, QLD 4217",479,Noise Level Measurement,Description 90,3.58,Equipment 16,370.73,Compliant,2,2842,No,
28-11-2022,9,Catherine Lee,Newcastle,6,Warners Bay Foreshore,"Shortland Esplanade, Newcastle, NSW 2300",710,Air Quality Check,Description 124,5.57,Equipment 16,30.43,Non-Compliant,2,3885,Yes,No
25-01-2022,5,Diana Taylor,Sydney,5,Richley Reserve,"Reserve Road, Newcastle, NSW 2300",886,Soil Quality Test,Description 48,7.97,Equipment 8,352.3,Non-Compliant,5,4446,Yes,Yes
26-09-2022,14,Kate Harris,Melbourne,19,Braye Park,"Scout Camp Road, Whitebridge, NSW 2290",423,Air Quality Check,Description 153,1.18,Equipment 3,439.13,Compliant,1,1982,Yes,No
21-04-2022,7,Samantha Wright,Brisbane,9,Hunter Wetlands Centre,"Sandgate Road, Shortland, NSW 2307",507,Soil Quality Test,Description 132,6.3,Equipment 11,185.69,Non-Compliant,2,1287,Yes,No
03-09-2022,16,Hannah Moore,Perth,12,Croudace Bay Park,"Kings Park, Perth, WA 6005",609,Soil Quality Test,Description 148,5.04,Equipment 9,254.62,Compliant,5,2491,Yes,Yes
23-12-2022,25,Beth Smith,Adelaide,3,Belmont Wetlands State Park,"Glenelg Beach, Adelaide, SA 5045",614,Air Quality Check,Description 192,4.86,Equipment 2,182.21,Compliant,4,1793,Yes,No
02-09-2022,5,Diana Taylor,Hobart,11,Jesmond Park,"Salamanca Place, Hobart, TAS 7000",127,Water Quality Test,Description 115,1.32,Equipment 15,68.41,Compliant,5,2074,No,
30-08-2022,20,Yvonne Cook,Darwin,3,Mount Sugarloaf,"Mindil Beach, Darwin, NT 0820",789,Soil Quality Test,Description 196,7.07,Equipment 12,107.18,Compliant,5,4081,Yes,Yes
10-06-2022,21,Rachel King,Canberra,23,Charlestown Park,"Lake Burley Griffin, Canberra, ACT 2600",873,Noise Level Measurement,Description 25,4.64,Equipment 9,75.31,Compliant,4,1930,Yes,No
04-08-2022,4,Alice Johnson,Gold Coast,18,Toronto Foreshore,"Broadbeach, Gold Coast, QLD 4218",204,Soil Quality Test,Description 8,1.36,Equipment 8,65.24,Compliant,3,4911,Yes,Yes
06-02-2022,5,Natalie Walker,Newcastle,1,Watagan Mountains,"Wharf Road, Newcastle East, NSW 2300",975,Water Quality Test,Description 100,6.94,Equipment 3,463.16,Non-Compliant,4,2566,Yes,Yes
09-09-2022,24,Rachel King,Sydney,14,Awaba State Forest,"Reserve Road, Newcastle, NSW 2300",279,Water Quality Test,Description 122,1.36,Equipment 11,230.83,Non-Compliant,1,4492,Yes,No
24-06-2022,11,Megan Lewis,Melbourne,19,Jesmond Park,"Federation Square, Melbourne, VIC 3000",744,Water Quality Test,Description 194,4.65,Equipment 18,204.65,Non-Compliant,3,2472,Yes,Yes
23-05-2022,5,Uma Allen,Brisbane,4,Lambton Park,"Queen Street Mall, Brisbane, QLD 4000",655,Noise Level Measurement,Description 113,5.16,Equipment 15,468.86,Compliant,5,259,No,
30-12-2022,5,Isabella Thompson,Perth,3,Richley Reserve,"Cottesloe Beach, Perth, WA 6011",237,Noise Level Measurement,Description 21,4.8,Equipment 6,249.65,Compliant,4,1338,No,
17-01-2022,19,Samantha Wright,Adelaide,19,Braye Park,"Rundle Mall, Adelaide, SA 5000",702,Noise Level Measurement,Description 132,1.35,Equipment 6,413.48,Non-Compliant,2,1383,No,
17-07-2022,21,Uma Allen,Hobart,11,Waratah Park,"Salamanca Place, Hobart, TAS 7000",436,Noise Level Measurement,Description 19,5.52,Equipment 18,146.45,Compliant,4,2165,Yes,No
02-02-2022,9,Zoe Ward,Darwin,2,King Edward Park,"Mindil Beach, Darwin, NT 0820",100,Water Quality Test,Description 35,2.26,Equipment 3,325.04,Compliant,2,2208,No,
04-01-2022,3,Ella Brown,Canberra,1,Blackbutt Nature Reserve,"Parliament House, Canberra, ACT 2600",952,Water Quality Test,Description 29,3.63,Equipment 11,386.92,Compliant,1,4538,Yes,No
25-12-2022,7,Zoe Ward,Gold Coast,22,King Edward Park,"Broadbeach, Gold Coast, QLD 4218",285,Water Quality Test,Description 104,3.27,Equipment 9,182.95,Compliant,5,3361,Yes,No
13-08-2022,25,Jane White,Newcastle,17,Newcastle Beach,"Shortland Esplanade, Newcastle, NSW 2300",611,Air Quality Check,Description 7,5.05,Equipment 11,119.71,Compliant,5,2558,No,
28-03-2022,9,Grace Jones,Sydney,9,Merewether Beach,"Darling Harbour, Sydney, NSW 2000",186,Water Quality Test,Description 197,4.83,Equipment 6,254.3,Non-Compliant,2,4038,Yes,No
15-10-2022,5,Kate Harris,Melbourne,16,Nobbys Beach,"Federation Square, Melbourne, VIC 3000",325,Water Quality Test,Description 89,6.37,Equipment 1,443.6,Compliant,1,43,Yes,No
31-07-2022,8,Zoe Ward,Brisbane,14,Watagan Mountains,"South Bank, Brisbane, QLD 4101",977,Noise Level Measurement,Description 103,3.51,Equipment 1,469.49,Non-Compliant,4,1918,Yes,Yes
22-02-2022,22,Olivia Hall,Perth,9,Warners Bay Foreshore,"Cottesloe Beach, Perth, WA 6011",111,Air Quality Check,Description 96,7.62,Equipment 14,37.83,Compliant,3,2807,No,
28-12-2022,18,Catherine Lee,Adelaide,16,Redhead Beach,"Glenelg Beach, Adelaide, SA 5045",804,Noise Level Measurement,Description 98,7.86,Equipment 13,219.45,Compliant,5,1630,Yes,No
30-07-2022,19,Zoe Ward,Hobart,9,Glenrock State Conservation Area,"Mount Wellington, Hobart, TAS 7054",905,Water Quality Test,Description 47,1.76,Equipment 1,338.21,Non-Compliant,1,388,Yes,Yes
31-03-2022,17,Jane White,Darwin,6,Hunter Wetlands Centre,"Mindil Beach, Darwin, NT 0820",771,Air Quality Check,Description 64,4.07,Equipment 10,317.43,Non-Compliant,4,173,No,
22-06-2022,7,Alice Johnson,Canberra,13,Hunter Wetlands Centre,"Lake Burley Griffin, Canberra, ACT 2600",848,Air Quality Check,Description 145,7.8,Equipment 4,421.87,Non-Compliant,1,734,Yes,Yes
16-12-2022,9,Beth Smith,Gold Coast,13,Belmont Wetlands State Park,"Broadbeach, Gold Coast, QLD 4218",209,Soil Quality Test,Description 89,2.7,Equipment 5,156.17,Compliant,1,4543,Yes,Yes
02-01-2022,12,Grace Jones,Newcastle,20,Jesmond Park,"Shortland Esplanade, Newcastle, NSW 2300",500,Water Quality Test,Description 18,1.31,Equipment 2,316.63,Non-Compliant,1,4467,No,
22-01-2022,15,Zoe Ward,Sydney,15,Mount Sugarloaf,"Circular Quay, Sydney, NSW 2000",856,Air Quality Check,Description 189,4.52,Equipment 6,324.7,Non-Compliant,3,438,No,
28-08-2022,14,Grace Jones,Melbourne,9,Charlestown Park,"St Kilda Road, Melbourne, VIC 3004",731,Air Quality Check,Description 97,6.78,Equipment 1,60.45,Compliant,2,4005,Yes,No
09-05-2022,25,Jane White,Brisbane,4,Toronto Foreshore,"Queen Street Mall, Brisbane, QLD 4000",417,Soil Quality Test,Description 104,3.37,Equipment 3,171.41,Compliant,3,4730,Yes,No
02-04-2022,19,Kate Harris,Perth,13,Watagan Mountains,"Cottesloe Beach, Perth, WA 6011",821,Air Quality Check,Description 83,5.68,Equipment 2,488.15,Compliant,5,2171,No,
20-09-2022,15,Laura Clark,Adelaide,10,Awaba State Forest,"Glenelg Beach, Adelaide, SA 5045",11,Noise Level Measurement,Description 45,7.67,Equipment 10,498.66,Non-Compliant,3,545,Yes,No
22-01-2022,7,Tina Scott,Hobart,20,Heaton State Forest,"Heaton Road, Awaba, NSW 2283",593,Air Quality Check,Description 130,3.02,Equipment 6,357.47,Compliant,5,3074,Yes,No
27-07-2022,22,Diana Taylor,Darwin,20,Lambton Park,"Mindil Beach, Darwin, NT 0820",142,Noise Level Measurement,Description 88,2.93,Equipment 10,349.07,Non-Compliant,3,3422,Yes,No
19-09-2022,16,Uma Allen,Canberra,3,Richley Reserve,"Lake Burley Griffin, Canberra, ACT 2600",241,Noise Level Measurement,Description 58,7.63,Equipment 9,176.94,Compliant,4,3830,No,
05-06-2022,15,Alice Johnson,Gold Coast,8,Braye Park,"Surfers Paradise Beach, Gold Coast, QLD 4217",376,Noise Level Measurement,Description 196,5.07,Equipment 6,137.64,Non-Compliant,1,804,No,
25-06-2022,17,Rachel King,Newcastle,2,Waratah Park,"Shortland Esplanade, Newcastle, NSW 2300",741,Air Quality Check,Description 157,5.34,Equipment 3,231.74,Compliant,4,1151,No,
15-04-2022,11,Rachel King,Sydney,19,King Edward Park,"Circular Quay, Sydney, NSW 2000",121,Soil Quality Test,Description 200,3.43,Equipment 13,149.05,Non-Compliant,2,2863,Yes,Yes
07-01-2022,18,Grace Jones,Melbourne,20,Blackbutt Nature Reserve,"St Kilda Road, Melbourne, VIC 3004",461,Soil Quality Test,Description 70,6.34,Equipment 19,454.8,Non-Compliant,4,4414,No,
01-09-2022,18,Fiona Wilson,Brisbane,6,King Edward Park,"South Bank, Brisbane, QLD 4101",68,Noise Level Measurement,Description 59,6.84,Equipment 5,364.95,Compliant,5,1590,Yes,No
02-09-2022,5,Megan Lewis,Perth,15,Newcastle Beach,"Kings Park, Perth, WA 6005",47,Air Quality Check,Description 12,1.74,Equipment 1,438.41,Compliant,1,2219,No,
26-10-2022,8,Isabella Thompson,Adelaide,22,Merewether Beach,"John Parade, Merewether, NSW 2291",765,Air Quality Check,Description 35,1.41,Equipment 15,408.87,Non-Compliant,5,1154,Yes,Yes
22-03-2022,22,Rachel King,Hobart,12,Nobbys Beach,"Mount Wellington, Hobart, TAS 7054",436,Water Quality Test,Description 143,1.75,Equipment 7,212.77,Compliant,5,1897,No,
03-06-2022,6,Isabella Thompson,Darwin,21,Speers Point Park,"Darwin Waterfront, Darwin, NT 0800",19,Water Quality Test,Description 128,6.28,Equipment 12,233.66,Non-Compliant,4,1931,No,
17-05-2022,22,Zoe Ward,Canberra,10,Warners Bay Foreshore,"Parliament House, Canberra, ACT 2600",343,Noise Level Measurement,Description 83,1.17,Equipment 19,193.73,Compliant,3,3436,No,
05-03-2022,21,Isabella Thompson,Gold Coast,14,Redhead Beach,"Broadbeach, Gold Coast, QLD 4218",770,Air Quality Check,Description 114,6.8,Equipment 13,86.8,Non-Compliant,2,905,Yes,No
11-07-2022,12,Natalie Walker,Newcastle,17,Glenrock State Conservation Area,"John Parade, Merewether, NSW 2291",900,Soil Quality Test,Description 108,4.14,Equipment 10,198.75,Non-Compliant,3,2489,Yes,No
02-04-2022,3,Catherine Lee,Sydney,10,Hunter Wetlands Centre,"Darling Harbour, Sydney, NSW 2000",570,Water Quality Test,Description 27,4.07,Equipment 4,170.79,Compliant,3,1874,Yes,Yes
05-03-2022,23,Rachel King,Melbourne,16,Croudace Bay Park,"St Kilda Road, Melbourne, VIC 3004",453,Air Quality Check,Description 78,1.36,Equipment 8,324.63,Non-Compliant,4,3345,Yes,No
26-10-2022,2,Vicky Turner,Brisbane,20,Belmont Wetlands State Park,"Queen Street Mall, Brisbane, QLD 4000",696,Noise Level Measurement,Description 1,7.71,Equipment 6,264.94,Compliant,2,1684,No,
09-02-2022,20,Kate Harris,Perth,11,Richley Reserve,"Cottesloe Beach, Perth, WA 6011",152,Noise Level Measurement,Description 73,7.83,Equipment 8,476.58,Non-Compliant,2,188,Yes,No
21-10-2022,10,Diana Taylor,Adelaide,3,Mount Sugarloaf,"Glenelg Beach, Adelaide, SA 5045",595,Soil Quality Test,Description 148,5.56,Equipment 16,479.78,Non-Compliant,4,717,No,
18-05-2022,24,Samantha Wright,Hobart,21,Charlestown Park,"Mount Wellington, Hobart, TAS 7054",41,Soil Quality Test,Description 110,4.91,Equipment 2,360.41,Compliant,5,2423,Yes,No
16-05-2022,16,Natalie Walker,Darwin,18,Croudace Bay Park,"Mindil Beach, Darwin, NT 0820",901,Soil Quality Test,Description 88,5.42,Equipment 8,200.52,Non-Compliant,5,3975,Yes,No
26-12-2022,19,Yvonne Cook,Canberra,21,Watagan Mountains,"Lake Burley Griffin, Canberra, ACT 2600",486,Air Quality Check,Description 173,7.76,Equipment 1,12.98,Compliant,5,2287,Yes,Yes
09-06-2022,8,Natalie Walker,Gold Coast,22,Awaba State Forest,"Broadbeach, Gold Coast, QLD 4218",68,Water Quality Test,Description 43,2.15,Equipment 11,351.76,Non-Compliant,1,2473,Yes,No
23-11-2022,20,Tina Scott,Newcastle,2,Heaton State Forest,"Shortland Esplanade, Newcastle, NSW 2300",795,Water Quality Test,Description 26,5.35,Equipment 10,315.41,Non-Compliant,5,3259,No,
10-06-2022,12,Laura Clark,Sydney,19,Lambton Park,"Darling Harbour, Sydney, NSW 2000",585,Soil Quality Test,Description 192,1.75,Equipment 17,225.81,Compliant,3,2817,No,
13-09-2022,23,Isabella Thompson,Melbourne,17,Richley Reserve,"St Kilda Road, Melbourne, VIC 3004",714,Water Quality Test,Description 95,4.08,Equipment 9,495.56,Non-Compliant,3,4884,No,
01-10-2022,7,Natalie Walker,Brisbane,3,Braye Park,"Queen Street Mall, Brisbane, QLD 4000",401,Soil Quality Test,Description 149,3.41,Equipment 4,0,Compliant,2,1999,Yes,No
14-02-2022,2,Wendy Mitchell,Perth,9,Waratah Park,"Kings Park, Perth, WA 6005",420,Noise Level Measurement,Description 24,2.64,Equipment 2,489.2,Compliant,5,353,Yes,No
20-08-2022,23,Fiona Wilson,Adelaide,3,King Edward Park,"Rundle Mall, Adelaide, SA 5000",526,Air Quality Check,Description 139,5.84,Equipment 7,359.93,Non-Compliant,5,2184,Yes,Yes
17-07-2022,8,Olivia Hall,Hobart,16,Blackbutt Nature Reserve,"Salamanca Place, Hobart, TAS 7000",455,Soil Quality Test,Description 56,4.92,Equipment 16,254.97,Compliant,1,2324,Yes,No
08-04-2022,22,Uma Allen,Darwin,12,King Edward Park,"Mindil Beach, Darwin, NT 0820",340,Water Quality Test,Description 175,2.68,Equipment 11,213.62,Non-Compliant,5,1374,No,
13-07-2022,9,Laura Clark,Canberra,21,Newcastle Beach,"Lake Burley Griffin, Canberra, ACT 2600",67,Soil Quality Test,Description 13,7.98,Equipment 3,302.63,Compliant,3,3608,No,
18-09-2022,24,Zoe Ward,Gold Coast,24,Merewether Beach,"Surfers Paradise Beach, Gold Coast, QLD 4217",553,Air Quality Check,Description 87,3.06,Equipment 7,416.18,Non-Compliant,3,1086,Yes,No
04-12-2022,12,Samantha Wright,Newcastle,14,Nobbys Beach,"Shortland Esplanade, Newcastle, NSW 2300",817,Soil Quality Test,Description 130,6.95,Equipment 5,413.25,Non-Compliant,4,1461,Yes,No
07-05-2022,15,Xena Perez,Sydney,18,Speers Point Park,"Circular Quay, Sydney, NSW 2000",400,Air Quality Check,Description 72,5.34,Equipment 12,433.6,Compliant,5,3301,Yes,Yes
